2026-04-21 09:42:57.685 [WRN] Microsoft.EntityFrameworkCore.Model.Validation Entity 'Supplier' has a global query filter defined and is the required end of a relationship with the entity 'Payable'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-04-21 09:42:57.691 [WRN] Microsoft.EntityFrameworkCore.Model.Validation Entity 'Product' has a global query filter defined and is the required end of a relationship with the entity 'ProductBatch'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-04-21 09:42:57.693 [WRN] Microsoft.EntityFrameworkCore.Model.Validation Entity 'Customer' has a global query filter defined and is the required end of a relationship with the entity 'Receivable'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-04-21 09:42:58.021 [WRN] Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager No XML encryptor configured. Key {d6f119c6-f0e8-4dff-b1df-46980910b72a} may be persisted to storage in unencrypted form.
2026-04-21 09:42:58.044 [INF] Microsoft.Hosting.Lifetime Now listening on: http://localhost:5253
2026-04-21 09:42:58.048 [INF] Microsoft.Hosting.Lifetime Application started. Press Ctrl+C to shut down.
2026-04-21 09:42:58.048 [INF] Microsoft.Hosting.Lifetime Hosting environment: Development
2026-04-21 09:42:58.049 [INF] Microsoft.Hosting.Lifetime Content root path: D:\C#\C#基础语法\进销存demo\进销存demo
2026-04-21 09:43:05.221 [WRN] Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware Failed to determine the https port for redirect.
2026-04-21 09:43:05.246 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET / responded 302 in 20.8343 ms
2026-04-21 09:43:05.314 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Account/Login responded 200 in 58.6617 ms
2026-04-21 09:43:10.986 [INF] 进销存demo.Controllers.AccountController 用户 admin 登录成功
2026-04-21 09:43:10.989 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP POST /Account/Login responded 302 in 121.3710 ms
2026-04-21 09:43:11.194 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET / responded 200 in 195.6432 ms
2026-04-21 09:43:11.308 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/dashboard/trend responded 200 in 29.7991 ms
2026-04-21 09:43:11.311 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/dashboard/stock-by-category responded 200 in 28.1322 ms
2026-04-21 09:43:11.313 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /api/dashboard/top-products responded 200 in 30.8581 ms
2026-04-21 09:45:47.794 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Receivables responded 200 in 91.7219 ms
2026-04-21 09:45:50.372 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Stocktakes responded 200 in 13.9634 ms
2026-04-21 09:45:50.997 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Inventory/Transactions responded 200 in 41.5908 ms
2026-04-21 09:45:51.735 [INF] Serilog.AspNetCore.RequestLoggingMiddleware HTTP GET /Inventory/Expiring responded 200 in 17.1313 ms
